lon,lat,centroid,elevation,slope_angle,bearing_angle
-116.80892315430755,35.00294327398254,POINT (-116.80892315430755 35.00294327398254),844.5281982421875,-16.670255694461638,135.0
-116.91335309271942,34.88582615686541,POINT (-116.91335309271942 34.88582615686541),664.087158203125,-3.868095544009099,135.0
-116.7924342166636,34.953393724432985,POINT (-116.7924342166636 34.953393724432985),736.5078125,-9.352233886695268,0.0
-116.92984203036342,34.962402733442005,POINT (-116.92984203036342 34.962402733442005),714.8177490234375,-11.631774902314545,180.0
-116.92984203036342,35.02546579650506,POINT (-116.92984203036342 35.02546579650506),901.7008666992188,-5.733642578110604,180.0
-116.8583899672395,34.9669072379465,POINT (-116.8583899672395 34.9669072379465),934.5923461914062,-7.7472074162645,315.0
-116.8419010295955,34.91285318389245,POINT (-116.8419010295955 34.91285318389245),590.96484375,-0.49981592659976687,225.0
-116.86388627978751,35.02546579650506,POINT (-116.86388627978751 35.02546579650506),882.353271484375,-33.04931640627986,90.0
-116.81991577940354,34.89483516587443,POINT (-116.81991577940354 34.89483516587443),582.3956298828125,-0.6924438476640051,90.0
-116.8693825923355,34.89033066136993,POINT (-116.8693825923355 34.89033066136993),600.0869750976562,-0.7232680010750783,315.0
-116.73197477863563,34.98942976046902,POINT (-116.73197477863563 34.98942976046902),547.4952392578125,-1.2753320667012724,45.0
-116.8528936546915,35.04798831902758,POINT (-116.8528936546915 35.04798831902758),701.63330078125,-12.598754882780868,0.0
-116.90236046762345,35.04798831902758,POINT (-116.90236046762345 35.04798831902758),856.5685424804688,-14.085849049264306,135.0
-116.89136784252746,34.87681714785641,POINT (-116.89136784252746 34.87681714785641),629.546142578125,-22.65476793560031,45.0
-116.8528936546915,34.91285318389245,POINT (-116.8528936546915 34.91285318389245),592.5244750976562,0.14611844703583723,45.0
-116.89136784252746,34.99393426497353,POINT (-116.89136784252746 34.99393426497353),955.891357421875,-13.801818847621597,180.0
-116.77044896647159,34.94888921992849,POINT (-116.77044896647159 34.94888921992849),706.089599609375,-20.766683362668086,225.0
-116.80892315430755,34.99843876947803,POINT (-116.80892315430755 34.99843876947803),856.3074340820312,2.032169475398421,45.0
-116.89136784252746,34.903844174883446,POINT (-116.89136784252746 34.903844174883446),599.3190307617188,-1.163391113278329,0.0
-116.7924342166636,35.02997030100957,POINT (-116.7924342166636 35.02997030100957),622.3956909179688,-5.049753474352019,45.0
-116.75945634137561,34.962402733442005,POINT (-116.75945634137561 34.962402733442005),660.5382080078125,-2.385070800796574,270.0
-116.86388627978751,34.89933967037894,POINT (-116.86388627978751 34.89933967037894),595.8025512695312,-0.13128662109403014,90.0
-116.77594527901958,34.957898228937495,POINT (-116.77594527901958 34.957898228937495),668.5108642578125,-3.39734545753622,45.0
-116.73747109118364,34.97141174245101,POINT (-116.73747109118364 34.97141174245101),607.310302734375,-3.593749999990977,0.0
-116.73747109118364,35.034474805514066,POINT (-116.73747109118364 35.034474805514066),526.6351318359375,-0.5774547366481274,315.0
-116.80342684175955,34.935375706414966,POINT (-116.80342684175955 34.935375706414966),932.5794067382812,-42.279134680804255,45.0
-116.72647846608766,34.90834867938795,POINT (-116.72647846608766 34.90834867938795),556.609130859375,-0.8444197517119408,135.0
-116.75396002882763,34.93087120191046,POINT (-116.75396002882763 34.93087120191046),577.3070068359375,-1.6571623159760371,135.0
-116.74296740373163,34.91285318389245,POINT (-116.74296740373163 34.91285318389245),565.1854858398438,-5.103322636559568,135.0
-116.86388627978751,35.00744777848704,POINT (-116.86388627978751 35.00744777848704),1032.550659179688,-18.00162189889835,315.0
-116.89136784252746,34.953393724432985,POINT (-116.89136784252746 34.953393724432985),687.5217895507812,-12.63266592869338,225.0
-116.72098215353965,35.011952282991544,POINT (-116.72098215353965 35.011952282991544),540.3128662109375,0.1981205022833791,315.0
-116.72098215353965,34.88132165236091,POINT (-116.72098215353965 34.88132165236091),566.9845581054688,-1.0256938167808003,225.0
-116.89686415507545,34.88132165236091,POINT (-116.89686415507545 34.88132165236091),709.81103515625,-39.630798339744246,180.0
